State/Indicator	Law enforcement / criminal justice expenditures as percentage of total state budget. 	Federal transfers as percentage of law enforcement /criminal justice expenditures	Per capita law enforcement/ criminal justice expenditures	Law enforcement/ criminal justice expenditures by function as a percentage of law enforcement/crminal justice expenditures: Public Safety (SSP)	Law enforcement/ criminal justice expenditures by function as a percentage of law enforcement/crminal justice expenditures: Prosecution	Law enforcement/ criminal justice expenditures by function as a percentagelaw enforcement/crminal justice expenditures: Justice Implementation/Court System	Police officers per 100000 inhabitants	Police officers per 1000 crimes 	Number of district courts per 100000 inhabitants	Caseload per district court 	Number of prosecutors per 100000 inhabitants	Number of prosecutors per 100,000 reported crimes	Number of public defense attorneys	Number of prison cells per 100,000 inhabitants	Number of prision cells per 100,000 reported crimes	Inmate population per 100,000 inhabitants 	Prision Overpopulation rate	"Reported crime as a percentage of total crime (""dark number"")"	Clearance rate: total reported crime	Clearance rate: homicide	Indictment / conviction rate	Pre-trial population as percentage of total prison population	Fear of crime indicators: Feeling of safety	"Fear of crime indicators: ""walking alone"""	Trust in institutions: Police (Municipal)	Trust in institutions: Police (State)	Trust in State and Municipal police (2011)	Trust in institutions: Prosecutors	Trust in institutions: Judges	Total reported crimes per 100,000 inhabitants	Violent crimes per 100,000 inhabitants	Violent crime as percentage of total reported crime	Number of intentional homicides per 100,000 inhabitants	Homicides caused by firearms as percentage of total homicides	Grand theft auto reports per 10,000 registered vehicles	Victimization rate	Indice de Rezago Social (2010)	Pobreza total	Pobreza moderada	Pobreza extrema	Coeficiente de Gini
Hgo	0.0601482389	0.1144884232	709.2379458101	0.5332259876	0.2353132249	0.2314607875	406	318.0713971728	0.4156699913	1132.3076923077	6.7074786751	542.5433373032	0.5714824541	150.5092775882	121.7414317851	216.0298924513	0.435326087	0.0667677504	0.0608524958	0.1517684887	0.5375088464	0.5938587767	0.409	0.2665614849	0.312866123	0.3936666334	0.3532663782	0.345454335	0.4072107411	1464.6931508137	322.8476847661	0.220420014	69.0012185526	0.6645041705	516.3359457973	20699.1962807374	2.515737	0.674	0.425	0.123	0.46509848
Jal	0.058656684	0.147299546	563.1231861178	0.6642853138	0.1412859674	0.1944287188	313	275.7708085219	0.1226977806	2603.3333333333	5.7141060078	465.7709825822		27.8966305588	22.7392369138	41.9502426319	0.5037745345	0.0505598516	0.0457552907	1.3125	0.5461672474	0.3519348945	0.269	0.2168927083	0.3726169905	0.4707356666	0.4216763286	0.3792986182	0.4083738474	1340.0642609177	271.6528863426	0.2027163131	4.5398178838	0.2702702703	359.3804774643	24452.2639580114	0.6076962	0.548	0.32	0.0491	0.45997499
Mex	0.0660193703	0.0892737476	610.264075935	0.5202783943	0.2762428895	0.2034787162	265	223.11231146	0.2948310225	2072.0952380952	2.9102507572	165.6588773339	0.6142716948	60.9575999458	34.6986167671	105.5507876203	0.7315443475	0.0439592895	0.1089646881	0.5802238806	0.6535878402	0.4684884714	0.151	0.31067321	0.2641194756	0.2910860622	0.2776027689	0.1912069438	0.263387518	1498.9770767476	306.1188388038	0.2042184924	17.1563575958	0.6530278232	328.2796769667	27907.7742056256	-0.6573023	0.3691	0.348	0.0815	0.4675601
Mich	0.075247254	0.0891214551	852.5125680052	0.5679222196	0.1725929505	0.2594848299	253	326.2003556609	0.2287703062	1050.6666666667	6.9139470326	806.1647895673	0.5512141871	232.3543743552	270.9247184351	148.7769558145	-0.3596980637	0.0574409935	0.1213137539	0.4536652835	0.9339381251	0.3726133652	0.214	0.2105861136	0.3402831678	0.3475541563	0.3439186621	0.3590626066	0.3933917666	935.4672010741	233.0661041967	0.2491440683	19.6488274124	0.4230271669	319.7003460611	14930.7037749084	0.7547382	0.548	0.421	0.127	0.48726733
Mor	0.0634714286	0.1796200648	603.8627616993	0.4262632109	0.2925259151	0.2812108741	357	151.9381329758	0.4706953877	1622	9.8257662185	399.8371920416	0.7886133932	122.6161484997	49.8958507913	197.2213674525	0.6084452975	0.1120818348	0.0167514412	0.1967545639	0.5913806864	0.4745901639	0.181	0.3368998995	0.2548939493	0.3603228738	0.3076084115	0.2835426737	0.3564652059	2549.4038937099	836.8375624333	0.3282483268	32.7133294462	0.4442446043	949.3091774179	21925.4242885836	-0.1336363	0.4356	0.374	0.0616	0.4198091
Nay	0.0583057094	0.1896258785	868.1847874496	0.418390331	0.2766025271	0.3050071419	303	434.1444062417	0.7185958227	1031.1428571429	14.2692599079	1838.1380587146	1.1407415857	145.3616692776	187.2520497223	250.4819724839	0.7231638418	0.0334266315	0.2630548303	0.2244897959	0.6597904388	0.426477171	0.181	0.3426186559	0.3989724394	0.4478566057	0.4234145225	0.4563979769	0.5103544149	873.0939245803	206.8529403915	0.2369194591	46.8113850216	0.8048245614	396.3246011544	23223.6622727216	-0.2467324	0.4122	0.336	0.0762	0.4868726
NL	0.0953439486	0.0578902253	1188.700801006	0.5628292155	0.2478280084	0.1893427761	225	185.9861284012	0.2853992802	1469.3076923077	3.4467451529	279.210385915	0.5994809878	138.6820963763	112.3421661035	196.179074437	0.4145955359	0.0452016326	0.047522557	0.2407991588	0.6472272846	0.6069104779	0.151	0.4738261624	0.2861895118	0.4344678888	0.3603287003	0.3779570649	0.4431390311	1324.8015048006	613.6304061759	0.4631866766	43.9734429384	0.7748377434	784.2230102866	27310.1121727468	-1.36996	0.2117	0.193	0.0187	0.49764735
Oax	0.0529946473	0.1181663589	628.4682015036	0.59308044	0.2265137647	0.1804057953	277	258.4703078548	0.2256143974	1832.875	10.0962442817	879.5852681752	0.506604148	132.915081843	115.7956806958	125.6954211276	-0.0543178443	0.0705826522	0.0327551631	0.2987721692	0.5491005603	0.3655013353	0.243	0.1753683855	0.4615354427	0.4530782755	0.4573068591	0.3524831479	0.4249669409	1227.765348618	283.9075172743	0.2312392328	12.4087918546		454.6343753668	16262.3734395589	2.417787	0.671	0.405	0.266	0.5107524
Pue	0.0245539973	0.229980381	224.0134745985	0.2846870823	0.407364522	0.3079483957	218	151.3487533794	0.3473249122	1188.5	4.324195157	299.1889456293	0.3161126692	104.4058686101	72.2379092821	143.0283988478	0.369926813	0.066582485	0.0580686095	0.6303191489	0.8571732652	0.2884676145	0.321	0.160381785	0.2722386818	0.3716423993	0.3219405405	0.2884279223	0.3312726045	1478.735813731	425.7682436318	0.2879271873	10.7497060329	0.3974151858	335.3013460407	21706.9968444498	1.067469	0.61	0.461	0.149	0.48156386
QR	0.0591181404	0.1425859776	634.5650836816	0.2695125796	0.3745720078	0.3559154125	192	150.1756189497	0.2806976572	2003.6	7.9718134641	608.2412404695	0.3205419032	136.8681776434	104.429024244	121.5420855611	-0.1119770304	0.066612567	0.1275662849	1.9459459459	0.5982099661	0.617939062	0.673	0.1434537476	0.4750104814	0.581493922	0.5282522017	0.4684229594	0.448687038	1398.3795885646	266.7750533887	0.1907744189	5.5016740808	0.0408163265	481.8715183639	19675.4690460787	-0.2473075	0.4146	0.346	0.0686	0.4871007
Qro	0.078930999	0.1433532111	870.6570594746	0.4464305203	0.2977095088	0.2558599709	521	209.8784194529	0.4963247155	191.8571428571	13.9679955643	598.7841945289	0.9009813325	181.5130388048	77.811550152	207.1092134175	0.141015625	0.0811662469	0.0472472472	0.8206896552	0.5206429247	0.4414050357	0.336	0.3135387065	0.2550945909	0.3653761632	0.310235377	0.2962060577	0.3892555188	2494.811634135	513.6251769929	0.2058773376	19.0730497807	0.1189591078	355.3753002004	28740.1013715292	-0.3987675	0.3454	0.298	0.0474	0.47545784
Sin	0.0360504225	0.238319173	387.2647336694	0.3282838702	0.0472371317	0.6244789981	305	211.0271255495	0.279396392	1486	11.6149071546	779.9935670634	0.48748306	131.1167354048	88.0508201994	123.6129465902	-0.0572298326	0.065783832	0.0618345986	0.5409836066	0.6522151149	0.321217547	0.202	0.3316899032	0.3385691125	0.407674421	0.3731217667	0.3776373681	0.5077639752	1560.4288495135	322.4633501783	0.2066504668	16.0453356568	0.5049751244	366.5270905654	22636.305870963	0.4852383	0.523	0.376	0.147	0.50769061
SLP	0.0357909278	0.1970978407	496.7296097517	0.2669404438	0.4435295587	0.2895299976	298	254.1225695299	0.6393813797	785.2941176471	14.480107717	1184.4696037411	1.0970155126	255.6773305451	209.143490032	206.2945216299	-0.1931450427	0.0463533582	0.1088998358	0.153638814	0.3195528573	0.5207085618	0.177	0.3036256151	0.2981293898	0.374477087	0.3363032384	0.4032291307	0.4772166359	1391.8956529588	552.0870160447	0.3966439689	71.7235465357	0.8180388044	1016.3833910256	26373.4332307531	-0.4841604	0.3648	0.314	0.0508	0.46514489
Son	0.0737413135	0.1341166571	999.1735485738	0.5096049299	0.2687519757	0.2216430943	260	225.3566901752	0.3915550963	1516.5	6.0691039927	503.7537781533	1.4612127173	308.5454158883	256.1019207644	464.1885666695	0.5044416244	0.0411393984	0.233900034	0.2615131579	0.9274639342	0.5341701534	0.531	0.2174964127	0.3846424827	0.4577877303	0.4212151065	0.4163045991	0.4410481025	1480.9788407542	326.7527278665	0.2206329482	18.4814005456	0.6843220339	567.6823908585	29285.2088953536	-0.6904547	0.3382	0.286	0.0522	0.47946335
Tab	0.1051870898	0.0585183419	1620.8581945909	0.5259111363	0.3524450934	0.1216437703	481	160.6176685397	0.1932065673	3142.75	6.762229855	208.6718039677	0.8871212177	170.0700808521	52.4809586979	267.4461907635	0.5725646123	0.1292421306	0.0263682263	0.6994818653	0.5410390409	0.3337707787	0.203	0.2969573062	0.2869226363	0.3268278167	0.3068752265	0.3227169731	0.4385641593	3291.4187786157	926.6669983379	0.2815402903	7.824865975		467.9509428192	25073.9092320053	-0.0735109	0.572	0.462	0.11	0.47774128
Tamps	0.0535334185	0.1861485405	509.7559586926	0.4618013875	0.3140397158	0.2241588967	184	122.8996541209	0.367329247	1401.75	5.2344417697	349.9723706023	1.3306818266	223.7647329639	149.6080718774	209.9286646602	-0.0618331053	0.0660419436	0.1227930216	0.2331550802	1.1430525699	0.5051282051	0.139	0.5645642547	0.292577391	0.4222609305	0.3574191607	0.4544920954	0.508779255	1655.7978023916	463.6307312546	0.2800044369	26.1722088487	0.2888888889	1123.6881968914	22647.3174428012	-0.6521795	0.3933	0.338	0.0553	0.44976479
Tlax	0.0569768112	0.242528365	539.624676207	0.6428621197	0.1420024299	0.2151354504	338	558.0508474576	0.1717848532	2656.5	5.6689001561	932.2033898305		90.272940364	148.4463276836	66.9960927535	-0.257849667	0.0293481519	0.1207639019	0.4736842105	0.6980519481	0.4922517181	0.558	0.139118305	0.3824575213	0.3824575213	0.3824575213	0.3391019873	0.3266704215	679.2373096087	178.9139246225	0.2634041477	6.0983622891		428.0406662178	20720.8407162394	-0.051343	0.6043	0.512	0.0923	0.42491234
Ver	0.0423998688	0.1114522487	475.4293988095	0.4172301672	0.1943141599	0.3884556729	256	457.918128655	0.342006013	1028.6	5.8277824617	996.4912280702	0.4004345129	95.0229506555	162.4795321637	101.5347451433	0.0685286496	0.0355802105	0.0606147535	0.7006507592	0.5834598923	0.5105605199	0.308	0.220347618	0.3286759751	0.368111127	0.3483935511	0.3364829325	0.4030200687	668.7038368834	166.0370791975	0.2482968843	7.0316436275	0.420233463	357.6248716248	16436.9539648543	1.13549	0.582	0.401	0.181	0.53429221
Yuc	0.0465792587	0.1500598365	601.1980764818	0.5542061806	0.1924570105	0.2533368089	335	131.3376537389	0.2030741363	2189.5	2.4876581694	98.3126341767	0.4525328831	119.0522123912	47.0496177846	129.4089933412	0.0869936034	0.1419478891	0.0415252691	2.4705882353	0.6021164021	0.3415046492	0.726	0.1066755316	0.4457452067	0.5494701591	0.4976076829	0.470217229	0.4702647305	2565.5371006293	515.6560005361	0.2009933906	2.3353525672	0.3043478261	51.966554559	17825.9396659806	0.2193746	0.4786	0.381	0.0976	0.46242403
Zac	0.0509252991	0.1398087055	710.38928982	0.450643817	0.2825038636	0.2668523194	194	203.03712036	0.654416475	244.6666666667	14.1063106835	1363.8920134983	0.6026753966	151.3883445517	146.3723284589	75.9850240425	-0.4980787704	0.0454683097	0.1074945869	0.5874125874	0.7953488372	0.4459330144	0.16	0.390274414	0.2861810612	0.5880411114	0.4371110863	0.463898427	0.494160699	1092.8028003208	345.8227505706	0.3164548539	8.6528400584	0.5630252101	522.9452115848	22747.0273149157	-0.1284057	0.602	0.498	0.104	0.52137935
